Ticker,Stock Name,Price Code,Ratios Code,In Market?
AEG,Aegon Nv,GOOG/NYSE_AEG,DMDRN/AEG_ALLFINANCIALRATIOS,Active
AEGG,The American Energy Group Ltd,GOOG/PINK_AEGG,DMDRN/AEGG_ALLFINANCIALRATIOS,Active
AEGN,Aegoin Corp,GOOG/NASDAQ_AEGN,DMDRN/AEGN_ALLFINANCIALRATIOS,Active
AEGR,Aegerion Pharmaceuticals,GOOG/NASDAQ_AEGR,DMDRN/AEGR_ALLFINANCIALRATIOS,Active
AEHR,Aehr Test Systems,GOOG/NASDAQ_AEHR,DMDRN/AEHR_ALLFINANCIALRATIOS,Active
AEIS,Advanced Energy Industries,GOOG/NASDAQ_AEIS,DMDRN/AEIS_ALLFINANCIALRATIOS,Active
AEL,American Equity Investment Life,GOOG/NYSE_AEL,DMDRN/AEL_ALLFINANCIALRATIOS,Active
AEM,Agnico-Eagle Mines Limited,GOOG/NYSE_AEM,DMDRN/AEM_ALLFINANCIALRATIOS,Active
AEMD,Aethlon Medical Inc,NA,DMDRN/AEMD_ALLFINANCIALRATIOS,Active
AENG,Advanced Engine Technologies I,GOOG/PINK_AENG,DMDRN/AENG_ALLFINANCIALRATIOS,Active
AENP,American Energy Production In,GOOG/PINK_AENP,DMDRN/AENP_ALLFINANCIALRATIOS,Active
AEO,American Eagle Outfitters,GOOG/NYSE_AEO,DMDRN/AEO_ALLFINANCIALRATIOS,Active
AEP,American Electric Power Company,GOOG/NYSE_AEP,DMDRN/AEP_ALLFINANCIALRATIOS,Active
AEPI,Aep Industries Inc.,GOOG/NASDAQ_AEPI,DMDRN/AEPI_ALLFINANCIALRATIOS,Active
AER,Aercap Holdings N.V.,GOOG/NYSE_AER,DMDRN/AER_ALLFINANCIALRATIOS,Active
AERG,Applied Energetics Inc,GOOG/PINK_AERG,DMDRN/AERG_ALLFINANCIALRATIOS,Active
AERL,Asia Entertainment & Resources Ltd,GOOG/NASDAQ_AERL,DMDRN/AERL_ALLFINANCIALRATIOS,Active
AERO,Aero Grow International Inc,GOOG/PINK_AERO,DMDRN/AERO_ALLFINANCIALRATIOS,Active
AERT,Advanced Environ Recycling Tec,GOOG/PINK_AERT,DMDRN/AERT_ALLFINANCIALRATIOS,Active
AES,The Aes Corp.,GOOG/NYSE_AES,DMDRN/AES_ALLFINANCIALRATIOS,Active
AET,Aetna Inc.,GOOG/NYSE_AET,DMDRN/AET_ALLFINANCIALRATIOS,Active
